Song;Artist(s);Link;Chords;Chords 2
"""Do I Wanna Know?""";Arctic Monkeys;https://tabs.ultimate-guitar.com/tab/arctic-monkeys/do-i-wanna-know-chords-1418189;F#, A, D#m, F#m, F, G#, A#m;
"""Locked out of Heaven""";Bruno Mars;https://tabs.ultimate-guitar.com/tab/bruno-mars/locked-out-of-heaven-chords-1188101;['Gm', 'F', 'C', 'Bb', 'Dm'];Gm, C, Bb, Dm, F
"""In The End""";Linkin Park;https://tabs.ultimate-guitar.com/tab/linkin-park/in-the-end-chords-1483998;Am, G, F, C;
"""Every Breath You Take""";The Police;https://tabs.ultimate-guitar.com/tab/the-police/every-breath-you-take-chords-1087239;A, F#m, D, E, B7, B, F, G, F#, D#m, C#, G#7, G#;
"""Treat You Better""";Shawn Mendes;https://tabs.ultimate-guitar.com/tab/shawn-mendes/treat-you-better-chords-1851320;Bm, A, G, D;
"""Flowers""";Miley Cyrus;https://tabs.ultimate-guitar.com/tab/miley-cyrus/flowers-chords-4600913;['G', 'Cmaj7', 'C', 'Am', ’Dm’, ’F’, ’C/B’, ’E7’];
"""Drivers License""";Olivia Rodrigo;https://tabs.ultimate-guitar.com/tab/olivia-rodrigo/drivers-license-chords-3504560;C#, A#m, F#, G#, Fm7, F#6, G#/C, A#m7;
"""One Kiss""";Calvin Harris and Dua Lipa;https://tabs.ultimate-guitar.com/tab/calvin-harris/one-kiss-chords-2361607;['F', 'Fmaj7', 'G5', 'Am', 'A#'];Am, A#, Fmaj7, F, G5
"""Let Me Love You""";DJ Snake and Justin Bieber;https://tabs.ultimate-guitar.com/tab/dj-snake/let-me-love-you-chords-1861929;D#m, F#, B, A#m, C#, G#m;
"""Unforgettable""";French Montana and Swae Lee;https://tabs.ultimate-guitar.com/tab/french-montana/unforgettable-chords-1981129;['E', 'B', 'G#m', 'D#m'];D#m, E, G#m, B
"""Good 4 U""";Olivia Rodrigo;https://tabs.ultimate-guitar.com/tab/olivia-rodrigo/good-4-u-chords-3705839;F#m, E, D, C#7, A, B;
"""Sad!""";XXXTentacion;https://tabs.ultimate-guitar.com/tab/xxxtentacion/sad-chords-2334317;['Cm', 'D#', 'Fm', 'Gm'];
"""Jocelyn Flores""";XXXTentacion;https://tabs.ultimate-guitar.com/tab/xxxtentacion/jocelyn-flores-chords-2127269;['Cm', 'Bb', 'Ab'];Cm, Bb, Ab
"""Happier""";Marshmello and Bastille;https://tabs.ultimate-guitar.com/tab/marshmello/happier-chords-2451517;Bm, D/F#, G, Em, A;
"""Sorry""";Justin Bieber;https://tabs.ultimate-guitar.com/tab/justin-bieber/sorry-chords-1775840;F, Am, G, Dm;
"""Kill Bill""";SZA;https://tabs.ultimate-guitar.com/tab/sza/kill-bill-chords-4457147;['G#', 'F', 'D#', 'A#m'];
"""Sicko Mode""";Travis Scott and Drake;https://tabs.ultimate-guitar.com/tab/travis-scott/sicko-mode-chords-5099155;Cm9, Bbmaj7, Ebmaj7, D, F#m, C#5, D#m, G#m/B, D#m/A#, G#5, D#m/G#;/
"""XO Tour Llif3""";Lil Uzi Vert;https://tabs.ultimate-guitar.com/tab/lil-uzi-vert/xo-tour-llif3-chords-1963879;C#m, A, E, B;
"""There's Nothing Holdin' Me Back""";Shawn Mendes;https://tabs.ultimate-guitar.com/tab/shawn-mendes/theres-nothing-holdin-me-back-chords-1983837;G, D, A, Bm;
"""Lean On""";Major Lazer with MØ and DJ Snake;https://tabs.ultimate-guitar.com/tab/major-lazer/lean-on-chords-1741529;['F', 'C', 'Gm'];Gm, F, C
"""Smells Like Teen Spirit""";Nirvana;https://tabs.ultimate-guitar.com/tab/nirvana/smells-like-teen-spirit-chords-807883;Fm, A#, G#, C#, F;
"""Cold Heart""";Elton John and Dua Lipa with Pnau;https://tabs.ultimate-guitar.com/tab/elton-john/cold-heart-pnau-remix-chords-3839657;A#m7, D#m7, F#, Fm;
