listPrice,rent,livingArea,rooms,published,constructionYear,objectType,soldDate,soldPrice,soldPriceSource,floor,additionalArea,apartmentNumber,location.address.streetAddress,location.position.latitude,location.position.longitude,location.position.isApproximate,location.region.municipalityName,location.region.countyName,location.distance.ocean,source.url,price_per_sqm
3495000,2270.0,56.0,2.0,2017-09-15 12:22:35,1935.0,Lägenhet,2017-09-28,3950000,bid,1.0,,1102.0,Torphagsvägen 4,59.37148,18.05388,,Stockholm,Stockholms län,218,http://www.visionfastighetsmakleri.se/,70535.71428571429
3295000,1919.0,48.0,2.0,2017-04-21 19:46:26,1935.0,Lägenhet,2017-05-12,3375000,bid,2.0,0.0,1104.0,Ekhagsvägen 11,59.3725786,18.0550844,True,Stockholm,Stockholms län,68,http://www.notar.se/,70312.5
2250000,2152.0,37.0,1.5,2016-01-09 01:17:15,1935.0,Lägenhet,2016-02-18,2600000,bid,,,,Ekhagsvägen 8,59.37178,18.05527,,Stockholm,Stockholms län,161,http://www.notar.se/,70270.27027027027
1595000,1681.0,29.0,1.0,2014-08-09 01:06:52,1935.0,Lägenhet,2014-08-26,2025000,bid,5.0,,4614.0,Torphagsvägen 14,59.3721605,18.0535415,True,Stockholm,Stockholms län,166,http://www.notar.se/,69827.58620689655
5750000,5735.0,105.0,4.0,2015-05-26 23:00:41,1935.0,Lägenhet,2015-06-14,7300000,bid,3.0,,,Ekhagsvägen 12,59.3722721,18.0556589,True,Stockholm,Stockholms län,101,http://www.svenskfast.se/,69523.80952380953
2495000,2897.0,47.0,2.0,2018-05-11 22:35:39,1935.0,Lägenhet,2018-05-18,3260000,bid,1.0,,,Ekhagsvägen 12,59.3722721,18.0556589,True,Stockholm,Stockholms län,101,http://www.erasweden.com/,69361.70212765958
2250000,2471.0,38.0,1.0,2016-01-15 23:03:21,,Lägenhet,2016-02-18,2635000,bid,1.0,,1101.0,Åminnevägen 19,59.37103271,18.0540565,,Stockholm,Stockholms län,260,http://www.notar.se/,69342.1052631579
7200000,4472.0,104.0,3.5,2017-08-07 15:31:58,1969.0,Lägenhet,2017-08-14,7200000,bid,6.0,,,Docentbacken 9,59.37124248,18.05782092,,Stockholm,Stockholms län,218,http://www.maklar-centrum.se/,69230.76923076923
2775000,2733.0,56.0,2.0,2016-04-09 08:34:13,1935.0,Lägenhet,2016-05-12,3850000,bid,1.0,,1102.0,Torphagsvägen 4,59.37148,18.05388,,Stockholm,Stockholms län,218,http://www.visionfastighetsmakleri.se/,68750.0
2950000,2584.0,46.0,2.0,2015-11-07 00:44:01,1935.0,Lägenhet,2015-11-28,3160000,bid,2.0,,1204.0,Torphagsvägen 14,59.3721605,18.0535415,True,Stockholm,Stockholms län,166,http://www.bjurfors.se/,68695.65217391304
5495000,5192.0,95.0,4.0,2017-02-11 20:44:38,1936.0,Lägenhet,2017-03-02,6500000,bid,,,,Torphagsvägen 14,59.3721605,18.0535415,True,Stockholm,Stockholms län,166,http://www.notar.se/,68421.05263157895
2495000,2413.0,37.0,1.0,2016-08-05 14:15:19,1935.0,Lägenhet,2016-08-26,2525000,bid,1.0,,1103.0,Åminnevägen 19,59.37103271,18.0540565,,Stockholm,Stockholms län,260,http://www.erasweden.com/,68243.24324324324
6995000,6088.0,114.0,5.0,2017-05-05 15:59:12,1936.0,Lägenhet,2017-05-11,7700000,bid,3.0,,,Torphagsvägen 14,59.3721605,18.0535415,True,Stockholm,Stockholms län,166,http://www.notar.se/,67543.85964912281
1995000,1773.0,36.0,1.0,2015-02-27 18:56:04,1968.0,Lägenhet,2015-03-18,2410000,bid,2.0,,1202.0,Docentbacken 3,59.3709502,18.0586253,True,Stockholm,Stockholms län,264,http://www.notar.se/,66944.44444444444
2695000,2595.0,39.0,2.0,2018-04-17 23:06:04,1936.0,Lägenhet,2018-05-01,2610000,bid,3.0,,,Torphagsvägen 16,59.3720529,18.054052,True,Stockholm,Stockholms län,164,http://www.svenskfast.se/,66923.07692307692
2995000,2798.0,48.0,2.0,2015-12-29 14:41:44,1935.0,Lägenhet,2016-02-01,3205000,bid,,,4806.0,Torphagsvägen 16,59.3720529,18.054052,True,Stockholm,Stockholms län,164,http://www.notar.se/,66770.83333333333
2575000,2596.0,39.0,1.5,2017-10-13 18:02:02,1934.0,Lägenhet,2017-10-29,2600000,bid,3.0,0.0,,Ekhagsvägen 4,59.3713881,18.0550922,True,Stockholm,Stockholms län,186,http://www.erikolsson.se/,66666.66666666667
1495000,1732.0,28.0,1.0,2014-04-03 21:17:28,1935.0,Lägenhet,2014-04-16,1860000,bid,,,,Torphagsvägen 16,59.3720529,18.054052,True,Stockholm,Stockholms län,164,http://www.fastighetsbyran.se/,66428.57142857143
1995000,2533.0,39.0,1.5,2015-11-29 18:30:43,1934.0,Lägenhet,2015-12-16,2590000,bid,3.0,,1302.0,Ekhagsvägen 4,59.3713881,18.0550922,True,Stockholm,Stockholms län,186,http://www.erikolsson.se/,66410.2564102564
1995000,2455.0,37.0,2.0,2014-10-16 17:40:14,1935.0,Lägenhet,2014-10-30,2450000,bid,2.0,,,Ekhagsvägen 8,59.37178,18.05527,,Stockholm,Stockholms län,161,http://www.notar.se/,66216.21621621621
2995000,2979.0,50.0,2.5,2018-01-26 18:30:21,1935.0,Lägenhet,2018-02-09,3310000,bid,1.0,,,Torphagsvägen 6,59.3716443,18.0532349,True,Stockholm,Stockholms län,225,http://www.fastighetsbyran.se/,66200.0
2750000,2554.0,46.5,2.0,2017-07-13 11:58:16,,Lägenhet,2017-08-25,3060000,bid,0.0,0.0,,Torphagsvägen 14,59.3721605,18.0535415,True,Stockholm,Stockholms län,166,http://www.notar.se/,65806.45161290323
1995000,1773.0,36.0,1.0,2018-10-05 14:29:28,1968.0,Lägenhet,2018-10-19,2355000,maklare,1.0,0.0,1103.0,Docentbacken 9,59.37124248,18.05782092,,Stockholm,Stockholms län,218,http://www.notar.se/,65416.666666666664
1300000,1294.0,20.0,1.0,2013-01-18 05:56:37,1939.0,Lägenhet,2013-02-09,1300000,bid,,,,Ekhagsvägen 10,59.3719665,18.0554221,True,Stockholm,Stockholms län,135,http://www.fastighetsbyran.se/,65000.0
2500000,2979.0,50.0,2.5,2015-03-20 17:38:11,1935.0,Lägenhet,2015-04-07,3230000,bid,2.0,,1203.0,Torphagsvägen 6,59.3716443,18.0532349,True,Stockholm,Stockholms län,225,http://www.notar.se/,64600.0
5095000,4829.0,85.0,4.0,2017-08-30 13:37:32,1935.0,Lägenhet,2017-09-12,5450000,bid,1.0,,,Torphagsvägen 16,59.3720529,18.054052,True,Stockholm,Stockholms län,164,http://www.svenskfast.se/,64117.64705882353
5400000,5636.0,96.0,4.0,2015-02-11 13:46:55,1936.0,Lägenhet,2015-03-02,6150000,bid,3.0,,,Åminnevägen 17,59.37119438,18.05355191,,Stockholm,Stockholms län,255,http://www.erikolsson.se/,64062.5
3295000,,52.0,2.0,2015-04-18 04:21:29,1935.0,Lägenhet,2015-05-01,3295000,bid,2.0,,1202.0,Torphagsvägen 24,59.3732708,18.0532176,True,Stockholm,Stockholms län,79,http://www.notar.se/,63365.38461538462
3500000,2307.0,57.0,3.0,2015-07-31 13:05:57,1935.0,Lägenhet,2015-08-14,3600000,bid,1.0,,1003.0,Ekhagsvägen 11,59.3725786,18.0550844,True,Stockholm,Stockholms län,68,http://www.notar.se/,63157.89473684211
